,Country,Ethnicity
1161,2,Black or African American
1162,2,Black or African American
1163,2,Black or African American
1164,2,Black or African American
1165,2,Black or African American
1166,2,Black or African American
1167,2,Black or African American
1168,2,Black or African American
1169,2,Black or African American
1170,2,Black or African American
1171,2,Black or African American
1172,2,Black or African American
1173,2,Black or African American
1174,2,Black or African American
1175,2,Black or African American
1176,2,Black or African American
1177,2,Black or African American
1178,1,Black or African American
1179,2,Black or African American
1180,2,Black or African American
1181,1,Black or African American
1182,2,Black or African American
1183,1,Black or African American
1184,2,Black or African American
1185,2,Black or African American
1186,2,Black or African American
1187,2,Black or African American
1188,1,Black or African American
1189,1,Black or African American
1190,2,Black or African American
1191,1,Black or African American
