,Gender,Country,Hired on,Terminated on,ACTION,Grade,Unnamed: 6,Unnamed: 7,Unnamed: 8,Ethnicity
178,M,1,08/24/2009,02/26/2014,2,1.0,,08/24/200902/26/2014,,White
179,F,1,06/04/2012,11/05/2015,1,1.0,,06/04/201211/05/2015,,White
180,M,1,11/19/2007,12/21/2015,2,1.0,,11/19/200712/21/2015,,White
181,M,1,01/20/2014,06/30/2014,1,1.0,,01/20/201406/30/2014,,White
182,M,2,09/09/2002,04/03/2015,2,1.0,,09/09/200204/03/2015,,White
183,M,2,04/29/2013,06/15/2015,1,1.0,,04/29/201306/15/2015,,White
184,M,1,10/17/2012,04/04/2014,1,1.0,,10/17/201204/04/2014,,White
185,F,2,10/23/2012,05/15/2015,1,1.0,,10/23/201205/15/2015,,White
186,M,2,06/09/2014,07/14/2015,2,1.0,,06/09/201407/14/2015,,White
187,M,2,02/04/2008,12/12/2014,1,1.0,,02/04/200812/12/2014,,White
188,F,2,02/01/2010,08/20/2014,2,1.0,,02/01/201008/20/2014,,White
189,M,2,06/09/2014,09/02/2014,1,1.0,,06/09/201409/02/2014,,White
190,M,2,06/09/2014,08/11/2015,1,1.0,,06/09/201408/11/2015,,White
191,F,2,07/14/2014,09/30/2014,1,1.0,,07/14/201409/30/2014,,White
192,M,2,07/15/2014,10/09/2014,1,1.0,,07/15/201410/09/2014,,White
193,F,2,07/28/2014,04/24/2015,1,1.0,,07/28/201404/24/2015,,White
194,M,2,11/29/2010,06/13/2014,1,1.0,,11/29/201006/13/2014,,White
195,M,2,12/04/2000,06/26/2014,2,1.0,,12/04/200006/26/2014,,White
196,M,2,10/01/1996,04/25/2014,1,1.0,,10/01/199604/25/2014,,White
197,M,2,12/30/2013,06/11/2015,2,1.0,,12/30/201306/11/2015,,White
198,M,2,08/21/2013,07/23/2015,1,1.0,,08/21/201307/23/2015,,White
199,F,2,09/02/2014,06/15/2015,1,1.0,,09/02/201406/15/2015,,White
200,F,2,05/29/2012,03/06/2014,1,1.0,,05/29/201203/06/2014,,White
201,M,1,08/04/2009,09/09/2015,1,1.0,,08/04/200909/09/2015,,White
202,F,2,07/28/2008,03/12/2015,1,1.0,,07/28/200803/12/2015,,White
203,M,2,01/14/2013,06/26/2014,2,1.0,,01/14/201306/26/2014,,White
204,F,1,01/13/2014,08/13/2015,1,1.0,,01/13/201408/13/2015,,White
205,F,1,02/18/2014,05/27/2014,1,1.0,,02/18/201405/27/2014,,White
206,M,2,01/31/2011,11/04/2014,2,2.0,,01/31/201111/04/2014,,White
207,M,1,09/17/2012,07/02/2014,2,1.0,,09/17/201207/02/2014,,White
208,M,2,05/25/2005,07/18/2014,1,3.0,,05/25/200507/18/2014,,White
209,M,2,01/17/2011,12/29/2014,1,1.0,,01/17/201112/29/2014,,White
210,F,2,04/18/2011,05/30/2014,2,1.0,,04/18/201105/30/2014,,White
211,M,2,11/06/2013,04/28/2014,1,4.0,,11/06/201304/28/2014,,White
212,F,2,01/03/2014,01/16/2015,1,1.0,,01/03/201401/16/2015,,White
213,M,2,11/11/2013,02/21/2014,2,1.0,,11/11/201302/21/2014,,White
214,M,2,01/13/2014,06/13/2014,1,2.0,,01/13/201406/13/2014,,White
215,M,2,02/03/2014,08/20/2014,1,1.0,,02/03/201408/20/2014,,White
216,M,2,08/26/2013,06/12/2015,1,3.0,,08/26/201306/12/2015,,White
217,F,2,05/14/2007,11/20/2014,2,1.0,,05/14/200711/20/2014,,White
218,M,2,09/06/2011,05/02/2014,2,1.0,,09/06/201105/02/2014,,White
219,M,2,02/15/2006,02/03/2015,2,1.0,,02/15/200602/03/2015,,White
220,F,2,04/17/2006,08/03/2015,2,1.0,,04/17/200608/03/2015,,White
221,M,2,08/11/2014,10/24/2014,1,1.0,,08/11/201410/24/2014,,White
222,F,2,08/25/2014,02/02/2015,1,1.0,,08/25/201402/02/2015,,White
223,F,2,10/13/2014,07/24/2015,2,6.0,,10/13/201407/24/2015,,White
224,M,1,06/18/1990,11/27/2014,2,7.0,,06/18/199011/27/2014,,White
225,F,1,05/29/2006,02/28/2014,2,1.0,,05/29/200602/28/2014,,White
226,M,2,01/07/2013,11/03/2014,2,1.0,,01/07/201311/03/2014,,White
227,M,2,11/15/2010,06/06/2014,1,1.0,,11/15/201006/06/2014,,White
228,M,1,09/04/2012,07/16/2014,2,1.0,,09/04/201207/16/2014,,White
229,M,1,08/14/2013,03/28/2014,1,1.0,,08/14/201303/28/2014,,White
230,F,2,09/17/2012,05/29/2015,1,6.0,,09/17/201205/29/2015,,White
231,M,2,09/08/2014,07/29/2015,1,1.0,,09/08/201407/29/2015,,White
232,M,2,02/22/2010,08/27/2014,2,1.0,,02/22/201008/27/2014,,White
233,M,2,09/22/2014,03/20/2015,1,1.0,,09/22/201403/20/2015,,White
234,M,2,01/14/2013,11/07/2014,1,1.0,,01/14/201311/07/2014,,White
235,F,2,01/28/2013,11/05/2014,1,1.0,,01/28/201311/05/2014,,White
236,M,2,04/29/2013,08/08/2014,1,1.0,,04/29/201308/08/2014,,White
237,M,1,02/12/2013,09/21/2015,2,1.0,,02/12/201309/21/2015,,White
238,M,2,02/14/2008,06/05/2014,1,7.0,,02/14/200806/05/2014,,White
239,M,1,07/29/2013,01/29/2015,2,1.0,,07/29/201301/29/2015,,White
240,F,1,11/25/2013,02/12/2015,1,1.0,,11/25/201302/12/2015,,White
241,M,2,04/28/2014,07/25/2014,1,1.0,,04/28/201407/25/2014,,White
242,F,2,05/12/2014,08/08/2014,1,1.0,,05/12/201408/08/2014,,White
243,M,2,01/02/2007,12/08/2014,1,1.0,,01/02/200712/08/2014,,White
244,M,2,07/17/2006,01/03/2014,1,1.0,,07/17/200601/03/2014,,White
245,F,1,09/22/2014,07/08/2015,1,1.0,,09/22/201407/08/2015,,White
246,M,1,11/14/2011,06/16/2015,2,1.0,,11/14/201106/16/2015,,White
247,M,1,12/05/2011,08/08/2014,1,1.0,,12/05/201108/08/2014,,White
248,F,1,01/03/2012,01/12/2017,1,1.0,,01/03/201201/12/2017,,White
249,F,1,10/07/2013,08/28/2014,1,1.0,,10/07/201308/28/2014,,White
250,M,1,11/10/2014,04/08/2016,1,1.0,,11/10/201404/08/2016,,White
251,M,2,11/10/2014,08/28/2015,1,1.0,,11/10/201408/28/2015,,White
252,M,2,11/24/2014,07/31/2015,1,1.0,,11/24/201407/31/2015,,White
253,M,2,01/01/2001,06/30/2016,1,,,01/01/200106/30/2016,,White
254,M,1,02/02/2015,07/19/2016,1,1.0,,02/02/201507/19/2016,,White
255,F,2,03/02/2015,07/24/2015,1,1.0,,03/02/201507/24/2015,,White
256,M,2,02/09/2015,05/07/2015,2,1.0,,02/09/201505/07/2015,,White
257,M,1,03/09/2015,10/28/2016,1,1.0,,03/09/201510/28/2016,,White
258,F,1,06/08/2015,09/30/2016,1,1.0,,06/08/201509/30/2016,,White
259,F,1,04/06/2015,06/25/2015,1,1.0,,04/06/201506/25/2015,,White
260,M,1,08/10/2015,09/11/2015,1,1.0,,08/10/201509/11/2015,,White
261,F,2,06/30/2008,09/01/2016,2,1.0,,06/30/200809/01/2016,,White
262,M,2,08/13/2014,04/29/2016,1,1.0,,08/13/201404/29/2016,,White
263,F,2,12/07/2009,07/28/2016,1,1.0,,12/07/200907/28/2016,,White
264,F,2,12/07/2009,10/30/2015,1,1.0,,12/07/200910/30/2015,,White
265,M,2,12/15/2014,10/21/2016,1,1.0,,12/15/201410/21/2016,,White
266,M,2,09/07/2010,07/01/2016,1,1.0,,09/07/201007/01/2016,,White
267,M,2,12/31/2014,03/01/2016,1,1.0,,12/31/201403/01/2016,,White
